Grid_ID,Ecoregion,F_AREA
1,222,93238336
2,222,93238336
3,222,93238336
4,222,93238336
5,222,93238336
6,222,93238336
7,222,93238336
8,222,93238336
9,222,93238336
10,222,93238336
11,222,93238336
12,222,93238336
13,222,93238336
14,222,93238336
15,222,93238336
16,222,93238336
17,222,93238336
18,222,93238336
19,222,93238336
20,222,93238336
21,222,93238336
22,222,93238336
23,222,93238336
24,222,93238336
25,222,93238336
26,222,93238336
27,222,93238336
28,222,93238336
29,222,93238336
30,222,93238336
31,222,93238336
32,222,93238336
33,222,93238336
34,222,93238336
35,222,93238336
36,222,93238336
37,222,93238336
38,222,93238336
39,222,93238336
40,222,93238336
41,222,93238336
42,222,92340383.65
43,222,3157901.47
52,222,93238336
53,222,93238336
54,222,93238336
55,222,93238336
56,222,93238336
57,222,93238336
58,222,93238336
59,222,93238336
60,222,93238336
61,222,93238336
62,222,93238336
63,222,93238336
64,222,93238336
65,222,93238336
66,222,93238336
67,222,93238336
68,222,93238336
69,222,93238336
70,222,93238336
71,222,93238336
72,222,93238336
73,222,93238336
74,222,93238336
75,222,93238336
76,222,93238336
77,222,93238336
78,222,93238336
79,222,93238336
80,222,93238336
81,222,93238336
82,222,93238336
83,222,93238336
84,222,93238336
85,222,93238336
86,222,93238336
87,222,93238336
88,222,93238336
89,222,93238336
90,222,93238336
91,222,93238336
92,222,93238336
93,222,87146540.92
103,222,93238336
104,222,93238336
105,222,93238336
106,222,93238336
107,222,93238336
108,222,93238336
109,222,93238336
110,222,93238336
111,222,93238336
112,222,93238336
113,222,93238336
114,222,93238336
115,222,93238336
116,222,93238336
117,222,93238336
118,222,93238336
119,222,93238336
120,222,93238336
121,222,93238336
122,222,93238336
123,222,93238336
124,222,93238336
125,222,93238336
126,222,93238336
127,222,93238336
128,222,93238336
129,222,93238336
130,222,93238336
131,222,93238336
132,222,93238336
133,222,93238336
134,222,93238336
135,222,93238336
136,222,93238336
137,222,93238336
138,222,93238336
139,222,93238336
140,222,93238336
141,222,93238336
142,222,93238336
143,222,93238336
144,222,92686600.81
145,222,9804055.01
154,222,93238336
155,222,93238336
156,222,93238336
157,222,93238336
158,222,93238336
159,222,93238336
160,222,93238336
161,222,93238336
162,222,93238336
163,222,93238336
164,222,93238336
165,222,93238336
166,222,93238336
167,222,93238336
168,222,93238336
169,222,93238336
170,222,93238336
171,222,93238336
172,222,93238336
173,222,93238336
174,222,93238336
175,222,93238336
176,222,93238336
177,222,93238336
178,222,93238336
179,222,93238336
180,222,93238336
181,222,93238336
182,222,93238336
183,222,93238336
184,222,93238336
185,222,93238336
186,222,93238336
187,222,93238336
188,222,93238336
189,222,93238336
190,222,93238336
191,222,93238336
192,222,93238336
193,222,93238336
194,222,93238336
195,222,92537857.14
196,222,16484197.97
205,222,93238336
206,222,93238336
207,222,93238336
208,222,93238336
209,222,93238336
210,222,93238336
211,222,93238336
212,222,93238336
213,222,93238336
214,222,93238336
215,222,93238336
216,222,93238336
217,222,93238336
218,222,93238336
219,222,93238336
220,222,93238336
221,222,93238336
222,222,93238336
223,222,93238336
224,222,93238336
225,222,93238336
226,222,93238336
227,222,93238336
228,222,93238336
229,222,93238336
230,222,93238336
231,222,93238336
232,222,93238336
233,222,93238336
234,222,93238336
235,222,93238336
236,222,93238336
237,222,93238336
238,222,93238336
239,222,93238336
240,222,93238336
241,222,93238336
242,222,93238336
243,222,93238336
244,222,93238336
245,222,93238336
246,222,63407686.43
256,222,93238336
257,222,93238336
258,222,93238336
259,222,93238336
260,222,93238336
261,222,93238336
262,222,93238336
263,222,93238336
264,222,93238336
265,222,93238336
266,222,93238336
267,222,93238336
268,222,93238336
269,222,93238336
270,222,93238336
271,222,93238336
272,222,93238336
273,222,93238336
274,222,93238336
275,222,93238336
276,222,93238336
277,222,93238336
278,222,93238336
279,222,93238336
280,222,93238336
281,222,93238336
282,222,93238336
283,222,93238336
284,222,93238336
285,222,93238336
286,222,93238336
287,222,93238336
288,222,93238336
289,222,93238336
290,222,93238336
291,222,93238336
292,222,93238336
293,222,93238336
294,222,93238336
295,222,93238336
296,222,93238336
297,222,48418451.23
307,222,93238336
308,222,93238336
309,222,93238336
310,222,93238336
311,222,93238336
312,222,93238336
313,222,93238336
314,222,93238336
315,222,93238336
316,222,93238336
317,222,93238336
318,222,93238336
319,222,93238336
320,222,93238336
321,222,93238336
322,222,93238336
323,222,93238336
324,222,93238336
325,222,93238336
326,222,93238336
